회사명,stock_code,2022년,2023년,2024년,E_value_등급,S_value_등급,G_value_등급,재무_value_등급,성장성_value_등급,업종명
제일기획,30190,A0,A0,A0,B0,A0,C0,A0,A0,서비스업
신세계인터내셔날,31440,B+,A0,A0,B+,B+,B+,B+,B0,서비스업
LG유플러스,33170,A0,A0,A0,B0,A0,A0,A0,B0,일반전기전자
LG디스플레이,34230,A0,B+,A0,B+,A0,A0,A0,C0,서비스업
신세계건설,34310,B+,B+,B+,B0,B+,B0,C0,D0,서비스업
NICE,34590,B+,B+,B+,B+,D0,A0,B+,B0,전기가스업
SK,35000,A+,A+,A+,B+,A0,A0,A+,A0,서비스업
강원랜드,35420,A0,A0,A0,B0,A0,A+,A0,A0,서비스업
NAVER,35510,A0,A+,A+,B+,A0,A0,A0,C0,서비스업
카카오,35760,A0,A0,A0,B+,A0,A0,A0,D0,기타서비스
한국가스공사,36530,B+,A0,B+,B+,A0,A0,A0,A0,기타금융
엔씨소프트,36580,A0,A0,A0,B0,A+,A0,A0,D0,음식료품
LG헬로비전,37710,A0,A0,A0,B0,A0,B+,B+,B+,유통업
광주신세계,38500,B+,A0,A0,B+,C0,B+,B0,C0,비금속
하나투어,39200,B+,B+,B+,B+,A0,A0,B0,A0,제약
한화오션,42670,B+,B+,A0,B0,A0,A0,A0,B0,기계
HD현대인프라코어,42700,B+,A0,A0,B0,A0,B+,A0,D0,기계
KSS해운,44820,B+,B+,B+,B+,B0,A0,B0,D0,기타금융
대우건설,47050,B+,A0,A0,B+,A0,A0,A0,B0,유통업
포스코인터내셔널,47400,A0,A0,A0,B0,A0,B+,A0,A+,비금속광물
한전KPS,51630,A0,A0,A0,B+,A0,A0,B+,A0,화학
LG생활건강,51910,A0,A0,A0,B+,A+,A0,A0,D0,화학
한전기술,53030,B+,A0,A0,B0,A0,A0,B0,C0,제약
한미글로벌,53800,B+,B+,A0,B0,B+,A0,C0,C0,출판·매체복제
테이팩스,56190,B+,A0,A0,B0,C0,B+,D0,D0,기계·장비
현대홈쇼핑,58430,A0,A0,A0,B0,A0,A0,B+,B+,철강금속
포스코스틸리온,58470,A0,A0,A0,B0,B0,D0,C0,A0,일반전기전자
KTC0s,58860,A0,A0,A0,B+,A0,B+,B0,A0,서비스업
KTis,60150,B+,B+,A0,B0,A0,B+,C0,B0,기타서비스
HL홀딩스,61970,B+,A0,A0,B0,B0,A0,B+,C0,일반전기전자
현대로템,64550,A0,A0,A0,B+,A0,A0,A0,C0,제약
LG전자,66970,A0,A0,A+,B0,A0,A0,A0,A+,전기전자
대웅제약,69640,B+,B+,B+,B0,A0,B+,B+,C0,유통업
현대백화점,70960,A0,A+,A0,B0,A0,A0,A0,C0,서비스업
지역난방공사,71840,A+,A+,A0,B+,A0,A0,A0,C0,유통업
롯데하이마트,71950,A0,A0,A0,B0,A0,A0,B+,B+,기타제조업
금호타이어,74600,B+,A0,A0,B+,A0,A0,A0,B+,비금속
CJ CGV,79430,B+,A0,A0,B0,A0,A0,B+,D0,기타제조업
현대리바트,79550,A0,A0,A0,B+,B+,B+,B0,A0,기계
LIG넥스원,79980,A0,A0,A0,B0,A0,A0,A0,C0,화학
휴비스,80160,B+,A0,A0,B0,B0,B0,B0,B+,기타서비스
휠라홀딩스,82270,B+,A0,A0,B0,C0,A0,B+,D0,기계·장비
한화엔진,83420,B+,B+,B+,B+,B0,B+,B+,B0,화학
대상홀딩스,84850,B+,B+,A0,B0,C0,C0,A0,B0,일반전기전자
현대글로비스,86390,A0,A+,A0,B+,A0,A0,A0,A0,기계·장비
노루페인트,90360,A0,B+,A0,B+,B0,C0,B0,B+,기계·장비
아모레퍼시픽,90460,A0,A0,A0,B+,A+,A0,A0,C0,전기전자
AJ네트웍스,95610,B+,B+,A0,B+,A0,B0,B+,B0,기계·장비
JW홀딩스,96770,B+,B+,B+,B0,C0,B+,B0,C0,화학
SK이노베이션,97230,A0,A+,A+,B+,A0,A0,A0,A0,건설업
CJ제일제당,98460,A0,A0,A0,B+,A+,B+,A0,C0,기계·장비
동성케미컬,102280,B+,A0,A0,B0,B0,B0,B+,B+,섬유의복
LX세미콘,108670,A0,B+,A0,B0,A0,B+,B+,D0,화학
LX하우시스,109070,A0,A0,A0,B+,A0,A0,A0,A0,전기전자
영원무역,112040,B+,B+,A0,B0,B0,A0,A0,C0,출판·매체복제
GKL,115390,A0,B+,B+,B0,A0,A0,C0,A0,화학
코오롱인더,121600,B+,B+,A0,B0,A0,A0,A0,C0,화학
현대퓨처넷,128820,A0,A0,A0,B+,D0,B0,C0,D0,유통업
한미약품,129260,B+,B+,A0,B0,A0,A0,A0,B0,운수창고업
이마트,139990,A0,A0,A0,B0,A0,A0,A0,B0,철강금속
삼양사,155660,B+,B+,B+,B0,A0,A0,B+,B+,철강금속
애경케미칼,161390,B+,A0,A0,B0,B+,B+,B+,D0,화학
한국콜마,163560,B+,A0,A0,B0,B+,A0,B+,B0,화학
동아에스티,178320,A0,A0,A0,B+,A0,A0,B+,C0,일반전기전자
한진칼,181710,A0,A0,A0,B+,D0,A0,A0,D0,서비스업
종근당,189300,B+,B+,A0,B0,A0,B+,B+,B+,일반전기전자
해성디에스,195940,B+,A0,A0,B0,A0,A0,B0,C0,제약
서연이화,204320,B+,B+,A0,B0,B+,B+,B+,A0,운수장비
HL만도,206650,A0,A0,A0,B+,A0,A0,A0,A0,제약
삼성바이오로직스,210540,A0,A+,A+,B0,A0,A0,A0,D0,기계
SK디앤디,213420,A0,A0,A0,B+,C0,A0,B+,D0,일반전기전자
한솔제지,214150,B+,A0,A0,B+,B+,A0,B+,C0,의료·정밀기기
이노션,214330,B+,B+,B+,B+,B+,A0,A0,B0,운수장비
경보제약,214420,B+,B+,B+,B+,B+,D0,C0,C0,화학
두산밥캣,241590,B+,A0,A0,B0,C0,A0,A0,B0,기타제조업
화승엔터프라이즈,243070,B+,B+,B+,B+,D0,B+,B+,B0,제약
HD현대,267260,A0,A0,A0,B0,C0,B+,A0,A0,전기전자
HD현대일렉트릭,267270,B+,A0,A0,B0,A0,B+,A0,B+,기계
HD현대건설기계,267290,A0,A+,A0,B+,B+,B+,B+,C0,전기가스업
오리온,271940,A0,A0,A0,B0,A0,B+,A0,B0,운수장비
한화시스템,272290,A0,A0,A0,B0,A0,B+,A0,C0,일반전기전자
진에어,272550,B+,A0,A0,B0,A0,B+,B+,B+,화학
롯데웰푸드,281820,A0,B+,B+,B+,A+,A0,A0,B+,의료정밀
BGF리테일,282690,A0,A0,A0,B0,A0,A0,A0,A0,화학
SK케미칼,286940,A+,A+,A0,B+,A0,A0,B+,D0,서비스업
롯데이노베이트,290650,A0,A0,A0,B+,A0,B+,B+,A0,제약
효성화학,298020,A0,A0,A0,B+,A0,B+,C0,C0,화학
효성티앤씨,298040,A0,A0,A0,B0,A0,B+,A0,A0,전기전자
효성중공업,298050,A0,A0,A0,B0,A+,A0,A0,A0,화학
효성첨단소재,298380,A0,A0,A0,B+,B+,B+,A0,D0,제약
SK바이오사이언스,306200,A0,A0,A0,B0,A0,B+,B+,D0,철강금속
세아제강,307950,B+,A0,A0,B0,B0,B0,A0,A0,서비스업
현대오토에버,308170,B+,A0,A0,B0,A0,A0,A0,B+,운수장비
HD현대에너지솔루션,323990,A0,A0,A0,B+,C0,B0,C0,D0,기타서비스
HD현대중공업,336260,B+,A0,A0,B+,A0,B+,A0,B0,전기전자
두산퓨얼셀,336370,B+,A0,A0,B+,B+,B+,B+,D0,전기전자
대덕전자,357780,B+,A0,A0,B0,A0,C0,B+,C0,화학
티와이홀딩스,372910,B+,B+,B+,B0,D0,B+,B0,D0,의료정밀
DL이앤씨,376300,A0,A0,A0,B0,A0,B+,A0,D0,출판·매체복제
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
