회사명,stock_code,2022년,2023년,2024년,E_value_등급,S_value_등급,G_value_등급,재무_value_등급,성장성_value_등급
엔씨소프트,36580,에이,에이,에이,비,에이플러스,에이,에이,디
LG헬로비전,37710,에이,에이,에이,비,에이,비플러스,비플러스,비플러스
광주신세계,38500,비플러스,에이,에이,비플러스,씨,비플러스,비,씨
하나투어,39200,비플러스,비플러스,비플러스,비플러스,에이,에이,비,에이
한화오션,42670,비플러스,비플러스,에이,비,에이,에이,에이,비
HD현대인프라코어,42700,비플러스,에이,에이,비,에이,비플러스,에이,디
KSS해운,44820,비플러스,비플러스,비플러스,비플러스,비,에이,비,디
대우건설,47050,비플러스,에이,에이,비플러스,에이,에이,에이,비
포스코인터내셔널,47400,에이,에이,에이,비,에이,비플러스,에이,에이플러스
한전KPS,51630,에이,에이,에이,비플러스,에이,에이,비플러스,에이
LG생활건강,51910,에이,에이,에이,비플러스,에이플러스,에이,에이,디
한전기술,53030,비플러스,에이,에이,비,에이,에이,비,씨
한미글로벌,53800,비플러스,비플러스,에이,비,비플러스,에이,씨,씨
테이팩스,56190,비플러스,에이,에이,비,씨,비플러스,디,디
현대홈쇼핑,58430,에이,에이,에이,비,에이,에이,비플러스,비플러스
포스코스틸리온,58470,에이,에이,에이,비,비,디,씨,에이
KTcs,58860,에이,에이,에이,비플러스,에이,비플러스,비,에이
KTis,60150,비플러스,비플러스,에이,비,에이,비플러스,씨,비
HL홀딩스,61970,비플러스,에이,에이,비,비,에이,비플러스,씨
현대로템,64550,에이,에이,에이,비플러스,에이,에이,에이,씨
LG전자,66970,에이,에이,에이플러스,비,에이,에이,에이,에이플러스
대웅제약,69640,비플러스,비플러스,비플러스,비,에이,비플러스,비플러스,씨
현대백화점,70960,에이,에이플러스,에이,비,에이,에이,에이,씨
지역난방공사,71840,에이플러스,에이플러스,에이,비플러스,에이,에이,에이,씨
롯데하이마트,71950,에이,에이,에이,비,에이,에이,비플러스,비플러스
금호타이어,74600,비플러스,에이,에이,비플러스,에이,에이,에이,비플러스
CJ CGV,79430,비플러스,에이,에이,비,에이,에이,비플러스,디
현대리바트,79550,에이,에이,에이,비플러스,비플러스,비플러스,비,에이
LIG넥스원,79980,에이,에이,에이,비,에이,에이,에이,씨
휴비스,80160,비플러스,에이,에이,비,비,비,비,비플러스
휠라홀딩스,82270,비플러스,에이,에이,비,씨,에이,비플러스,디
한화엔진,83420,비플러스,비플러스,비플러스,비플러스,비,비플러스,비플러스,비
대상홀딩스,84850,비플러스,비플러스,에이,비,씨,씨,에이,비
현대글로비스,86390,에이,에이플러스,에이,비플러스,에이,에이,에이,에이
노루페인트,90360,에이,비플러스,에이,비플러스,비,씨,비,비플러스
아모레퍼시픽,90460,에이,에이,에이,비플러스,에이플러스,에이,에이,씨
AJ네트웍스,95610,비플러스,비플러스,에이,비플러스,에이,비,비플러스,비
JW홀딩스,96770,비플러스,비플러스,비플러스,비,씨,비플러스,비,씨
SK이노베이션,97230,에이,에이플러스,에이플러스,비플러스,에이,에이,에이,에이
CJ제일제당,98460,에이,에이,에이,비플러스,에이플러스,비플러스,에이,씨
동성케미컬,102280,비플러스,에이,에이,비,비,비,비플러스,비플러스
LX세미콘,108670,에이,비플러스,에이,비,에이,비플러스,비플러스,디
LX하우시스,109070,에이,에이,에이,비플러스,에이,에이,에이,에이
영원무역,112040,비플러스,비플러스,에이,비,비,에이,에이,씨
GKL,115390,에이,비플러스,비플러스,비,에이,에이,씨,에이
코오롱인더,121600,비플러스,비플러스,에이,비,에이,에이,에이,씨
현대퓨처넷,128820,에이,에이,에이,비플러스,디,비,씨,디
한미약품,129260,비플러스,비플러스,에이,비,에이,에이,에이,비
이마트,139990,에이,에이,에이,비,에이,에이,에이,비
삼양사,155660,비플러스,비플러스,비플러스,비,에이,에이,비플러스,비플러스
애경케미칼,161390,비플러스,에이,에이,비,비플러스,비플러스,비플러스,디
한국콜마,163560,비플러스,에이,에이,비,비플러스,에이,비플러스,비
동아에스티,178320,에이,에이,에이,비플러스,에이,에이,비플러스,씨
한진칼,181710,에이,에이,에이,비플러스,디,에이,에이,디
종근당,189300,비플러스,비플러스,에이,비,에이,비플러스,비플러스,비플러스
해성디에스,195940,비플러스,에이,에이,비,에이,에이,비,씨
서연이화,204320,비플러스,비플러스,에이,비,비플러스,비플러스,비플러스,에이
HL만도,206650,에이,에이,에이,비플러스,에이,에이,에이,에이
삼성바이오로직스,210540,에이,에이플러스,에이플러스,비,에이,에이,에이,디
SK디앤디,213420,에이,에이,에이,비플러스,씨,에이,비플러스,디
한솔제지,214150,비플러스,에이,에이,비플러스,비플러스,에이,비플러스,씨
이노션,214330,비플러스,비플러스,비플러스,비플러스,비플러스,에이,에이,비
경보제약,214420,비플러스,비플러스,비플러스,비플러스,비플러스,디,씨,씨
두산밥캣,241590,비플러스,에이,에이,비,씨,에이,에이,비
화승엔터프라이즈,243070,비플러스,비플러스,비플러스,비플러스,디,비플러스,비플러스,비
HD현대,267260,에이,에이,에이,비,씨,비플러스,에이,에이
HD현대일렉트릭,267270,비플러스,에이,에이,비,에이,비플러스,에이,비플러스
HD현대건설기계,267290,에이,에이플러스,에이,비플러스,비플러스,비플러스,비플러스,씨
오리온,271940,에이,에이,에이,비,에이,비플러스,에이,비
한화시스템,272290,에이,에이,에이,비,에이,비플러스,에이,씨
진에어,272550,비플러스,에이,에이,비,에이,비플러스,비플러스,비플러스
롯데웰푸드,281820,에이,비플러스,비플러스,비플러스,에이플러스,에이,에이,비플러스
BGF리테일,282690,에이,에이,에이,비,에이,에이,에이,에이
SK케미칼,286940,에이플러스,에이플러스,에이,비플러스,에이,에이,비플러스,디
롯데이노베이트,290650,에이,에이,에이,비플러스,에이,비플러스,비플러스,에이
효성화학,298020,에이,에이,에이,비플러스,에이,비플러스,씨,씨
효성티앤씨,298040,에이,에이,에이,비,에이,비플러스,에이,에이
효성중공업,298050,에이,에이,에이,비,에이플러스,에이,에이,에이
효성첨단소재,298380,에이,에이,에이,비플러스,비플러스,비플러스,에이,디
SK바이오사이언스,306200,에이,에이,에이,비,에이,비플러스,비플러스,디
세아제강,307950,비플러스,에이,에이,비,비,비,에이,에이
현대오토에버,308170,비플러스,에이,에이,비,에이,에이,에이,비플러스
HD현대에너지솔루션,323990,에이,에이,에이,비플러스,씨,비,씨,디
HD현대중공업,336260,비플러스,에이,에이,비플러스,에이,비플러스,에이,비
두산퓨얼셀,336370,비플러스,에이,에이,비플러스,비플러스,비플러스,비플러스,디
대덕전자,357780,비플러스,에이,에이,비,에이,씨,비플러스,씨
티와이홀딩스,372910,비플러스,비플러스,비플러스,비,디,비플러스,비,디
DL이앤씨,376300,에이,에이,에이,비,에이,비플러스,에이,디
